,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
1044,Valparaiso University,Valparaiso,IN,0.9415,44796,11,2342,13180,8900,"Suburb, Population < 100,000",51121,1260
1047,Wabash College,Crawfordsville,IN,0.6149,47475,9,835,12500,5000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",50694,1230
1050,Buena Vista University,Storm Lake,IA,0.7727,38644,12,1419,10680,8134,"Rural Town, Urban Cluster 35 miles away from an urban area",41350,1115
1053,Central College,Pella,IA,0.7924,19800,13,1135,10860,10860,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44324,1117
1054,Clarke University,Dubuque,IA,0.848,38060,9,724,10600,10600,"City, Population < 100,000",45637,1055
1056,Cornell College,Mount Vernon,IA,0.7933,49158,13,1056,10872,10872,"Fringe Town, Urban cluster that is 10 miles from an urban area",40239,1253
1059,Dordt University,Sioux Center,IA,0.8767,34600,14,1472,10990,11330,"Rural Town, Urban Cluster 35 miles away from an urban area",45044,1182
1060,Drake University,Des Moines,IA,0.6723,47912,10,2794,11570,11570,"City, Population Size between 100,000 and 250,000",57268,1304
1063,Emmaus Bible College,Dubuque,IA,1,19800,7,188,9050,4950,"City, Population < 100,000",33570,1090
1065,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,0.5245,18740,15,313,7540,7540,"Suburb, Population >= 250,000",29753,1090
1077,Iowa State University,Ames,IA,0.9022,10133,18,24994,9358,9358,"City, Population < 100,000",51327,1197
1078,Iowa Wesleyan University,Mount Pleasant,IA,0.8081,34700,13,734,11340,7110,"Rural Town, Urban Cluster 35 miles away from an urban area",38956,1003
1080,University of Iowa,Iowa City,IA,0.86,10353,16,21545,11476,11476,"City, Population < 100,000",51999,1222
1087,Luther College,Decorah,IA,0.7532,48160,11,1603,10670,10670,"Rural Town, Urban Cluster 35 miles away from an urban area",45814,1241
1092,Mount Mercy University,Cedar Rapids,IA,0.7527,37606,13,1201,10636,8100,"City, Population Size between 100,000 and 250,000",48677,1090
1095,University of Northern Iowa,Cedar Falls,IA,0.9495,9411,17,7571,9343,9160,"City, Population < 100,000",44621,1121
1102,Saint Ambrose University,Davenport,IA,0.7392,34570,12,2108,11988,10782,"City, Population Size between 100,000 and 250,000",49839,1153
1105,Simpson College,Indianola,IA,0.891,45108,10,1115,9654,8140,"Fringe Town, Urban cluster that is 10 miles from an urban area",45002,1410
1111,Upper Iowa University,Fayette,IA,0.5423,33639,13,2203,9644,9644,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",45393,1065
1113,Wartburg College,Waverly,IA,0.9745,49190,13,1402,10280,10280,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44469,1113
1117,William Penn University,Oskaloosa,IA,0.5767,27800,18,1362,7528,6884,"Rural Town, Urban Cluster 35 miles away from an urban area",39549,971
1119,Baker University,Baldwin City,KS,0.9175,32320,13,1115,9440,8440,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",51792,1050
1121,Benedictine College,Atchison,KS,0.9883,33720,14,2155,11580,10000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41434,1220
1122,Bethany College,Lindsborg,KS,0.6603,31305,11,684,13076,8144,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",39962,1010
1123,Bethel College-North Newton,North Newton,KS,0.9715,32090,10,497,9410,12146,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43930,1082
1132,Emporia State University,Emporia,KS,0.9567,7001,17,2663,9308,9308,"Rural Town, Urban Cluster 35 miles away from an urban area",38643,1090
1134,Fort Hays State University,Hays,KS,0.8802,5430,15,10066,8481,8481,"Rural Town, Urban Cluster 35 miles away from an urban area",40602,1051
1136,Friends University,Wichita,KS,0.6327,31812,12,993,8326,8141,"City, Population Size >= 250,000",41406,1112
1149,University of Kansas,Lawrence,KS,0.8784,11167,17,18539,10136,9994,"City, Population < 100,000",49482,1192
1157,Manhattan Christian College,Manhattan,KS,0.4796,17914,12,121,8976,14436,"City, Population < 100,000",33115,1090
1158,McPherson College,McPherson,KS,0.6588,33536,13,812,9918,10144,"Rural Town, Urban Cluster 35 miles away from an urban area",39250,1026
1159,MidAmerica Nazarene University,Olathe,KS,0.6682,34832,11,975,9848,11632,"Suburb, Population >= 250,000",54566,1048
1163,Ottawa University-Ottawa,Ottawa,KS,0.7823,33380,11,851,11934,10000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",45136,993
1165,Pittsburg State University,Pittsburg,KS,0.8618,7970,14,4221,9426,9658,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41069,1090
1167,University of Saint Mary,Leavenworth,KS,0.8193,32540,12,798,9070,8260,"Fringe Town, Urban cluster that is 10 miles from an urban area",48337,1045
1170,Southwestern College,Winfield,KS,0.7016,36650,9,1050,9380,8141,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",44046,1026
1171,Sterling College,Sterling,KS,0.611,30000,9,566,9336,9336,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",37870,1076
1172,Tabor College,Hillsboro,KS,0.5271,35050,15,507,9300,9500,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",45177,1035
1175,Wichita State University,Wichita,KS,0.9485,8866,20,10304,12610,11272,"City, Population Size >= 250,000",42275,1118
1177,Alice Lloyd College,Pippa Passes,KY,0.9833,14250,16,538,7660,5000,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",32879,980
1181,Bellarmine University,Louisville,KY,0.8778,46030,12,2275,9714,9714,"City, Population Size >= 250,000",46791,1191
1182,Berea College,Berea,KY,0.2458,45026,8,1412,7742,7742,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",32156,1220
1188,Centre College,Danville,KY,0.6285,48070,10,1347,12300,10000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",45904,1366
1192,University of the Cumberlands,Williamsburg,KY,0.8302,9875,18,4609,9300,8640,"Rural Town, Urban Cluster 35 miles away from an urban area",35901,1049
1193,Eastern Kentucky University,Richmond,KY,0.6431,9844,16,11215,10360,10360,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37199,1051
1196,Georgetown College,Georgetown,KY,0.7152,41600,14,1204,11210,8182,"Fringe Town, Urban cluster that is 10 miles from an urban area",36982,1093
1205,Kentucky Mountain Bible College,Jackson,KY,0.45,10060,12,71,5430,6500,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",27296,1120
1206,Kentucky State University,Frankfort,KY,0.915,9004,11,1343,8076,7034,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",30112,889
1207,Kentucky Wesleyan College,Owensboro,KY,0.6855,31300,12,760,11175,7987,"City, Population < 100,000",37256,1053
1208,University of Kentucky,Lexington,KY,0.9489,12859,17,22115,14676,12148,"City, Population Size >= 250,000",45429,1189
1209,Kentucky Christian University,Grayson,KY,0.4439,23700,13,448,8980,8980,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37141,959
1212,University of Louisville,Louisville,KY,0.8154,12520,13,13822,10668,10144,"City, Population Size >= 250,000",43229,1153
1216,Midway University,Midway,KY,0.9376,25050,15,1187,8600,8600,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",35082,1113
1218,Murray State University,Murray,KY,0.8398,9432,16,6588,10160,10824,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",35895,1109
1220,Northern Kentucky University,Highland Heights,KY,0.8601,10592,17,8677,11248,11248,"Suburb, Population >= 250,000",40663,1123
1231,Spalding University,Louisville,KY,0.9764,27300,9,635,8300,12132,"City, Population Size >= 250,000",40961,1013
1233,Thomas More University,Crestview Hills,KY,0.9424,35810,14,1420,10014,8140,"Suburb, Population >= 250,000",47050,1092
1234,Transylvania University,Lexington,KY,0.9079,43670,10,976,12750,12750,"City, Population Size >= 250,000",37080,1250
1235,Union College,Barbourville,KY,0.5342,30946,9,711,8261,8261,"Rural Town, Urban Cluster 35 miles away from an urban area",34380,980
1236,Western Kentucky University,Bowling Green,KY,0.9695,11112,18,12149,11072,11072,"City, Population < 100,000",35033,1088
1241,Centenary College of Louisiana,Shreveport,LA,0.6365,38820,8,511,13940,10450,"City, Population Size between 100,000 and 250,000",41508,1188
1247,Dillard University,New Orleans,LA,0.7989,20224,13,1220,10730,9795,"City, Population Size >= 250,000",29497,1082
1249,Grambling State University,Grambling,LA,0.4237,7683,25,4163,10990,9932,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",26314,938
1254,Louisiana State University-Alexandria,Alexandria,LA,0.5767,7050,14,3600,9598,9350,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",35155,1019
1255,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,0.7572,11954,22,27729,13956,15414,"City, Population Size between 100,000 and 250,000",46054,1221
1257,Louisiana State University-Shreveport,Shreveport,LA,0.8891,7327,24,2137,10226,10468,"City, Population Size between 100,000 and 250,000",36729,1091
1261,Louisiana Christian University,Pineville,LA,0.7461,19720,11,767,7646,10468,"Suburb, Population < 100,000",40631,1085
1263,Louisiana Tech University,Ruston,LA,0.6237,10065,23,7434,9447,9570,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",42884,1190
1265,McNeese State University,Lake Charles,LA,0.7124,8440,19,4928,9878,10468,"City, Population < 100,000",37189,1089
1266,University of New Orleans,New Orleans,LA,0.6976,9172,18,4925,12174,10468,"City, Population Size >= 250,000",37624,1088
1268,Nicholls State University,Thibodaux,LA,0.9843,8156,17,4808,10602,9932,"City, Population < 100,000",36722,1088
1269,University of Louisiana at Monroe,Monroe,LA,0.7011,9082,17,5032,9551,10468,"City, Population < 100,000",36263,1132
1271,Northwestern State University of Louisiana,Natchitoches,LA,0.9793,8672,17,6243,10269,10468,"Rural Town, Urban Cluster 35 miles away from an urban area",38420,1089
1284,Southeastern Louisiana University,Hammond,LA,0.9898,8373,18,9567,9430,10468,"City, Population < 100,000",36810,1090
1285,Southern University and A & M College,Baton Rouge,LA,0.539,9940,18,5171,9366,10468,"City, Population Size between 100,000 and 250,000",32745,940
1286,Southern University at New Orleans,New Orleans,LA,0.9353,7471,13,1144,9480,10468,"City, Population Size >= 250,000",27088,950
1290,Tulane University of Louisiana,New Orleans,LA,0.1145,62844,8,8490,17346,17346,"City, Population Size >= 250,000",47037,1443
1291,Xavier University of Louisiana,New Orleans,LA,0.9516,26863,13,2681,10400,12645,"City, Population Size >= 250,000",39181,1103
1298,Colby College,Waterville,ME,0.0761,63520,10,2299,16330,6200,"Rural Town, Urban Cluster 35 miles away from an urban area",52148,1501
1303,University of Maine at Farmington,Farmington,ME,0.9417,9890,11,1217,10764,10764,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",34296,1110
1305,University of Maine,Orono,ME,0.9396,12136,14,8720,12050,12050,"Suburb, Population < 100,000",41321,1202
1306,Maine Maritime Academy,Castine,ME,0.5765,14562,11,874,11240,11240,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",85480,1166
1312,Saint Joseph's College of Maine,Standish,ME,0.8084,41586,10,963,14936,7200,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",54603,1060
1315,University of Southern Maine,Portland,ME,0.8543,10120,14,4322,10924,10924,"City, Population < 100,000",41482,1109
1325,Bowie State University,Bowie,MD,0.8654,8748,15,5289,12468,15740,"Suburb, Population >= 250,000",42547,910
1331,Coppin State University,Baltimore,MD,0.4495,6904,10,1708,11746,13141,"City, Population Size >= 250,000",36946,940
1337,Goucher College,Baltimore,MD,0.8024,49220,7,981,16780,10000,"City, Population < 100,000",40132,1258
1343,Johns Hopkins University,Baltimore,MD,0.0725,60480,6,5643,17640,13808,"City, Population Size >= 250,000",83890,1553
1345,Loyola University Maryland,Baltimore,MD,0.8348,53430,13,3968,16500,9940,"City, Population Size >= 250,000",65269,1285
1348,University of Maryland-Baltimore County,Baltimore,MD,0.8055,12606,18,10557,13378,15466,"Suburb, Population >= 250,000",53461,1295
1349,University of Maryland-College Park,College Park,MD,0.4461,11233,18,29982,14576,15060,"Suburb, Population >= 250,000",64155,1461
1350,Maryland Institute College of Art,Baltimore,MD,0.7958,53815,9,1401,15290,10990,"City, Population Size >= 250,000",35305,1169
1355,Morgan State University,Baltimore,MD,0.8538,8008,17,7599,12162,12902,"City, Population Size >= 250,000",39611,971
1356,Mount St. Mary's University,Emmitsburg,MD,0.7957,45870,13,1824,14320,6600,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",49605,1146
1362,Salisbury University,Salisbury,MD,0.9106,10396,13,6145,12990,12990,"Suburb, Population < 100,000",50417,1237
1363,St. Mary's College of Maryland,St. Mary's City,MD,0.773,15184,10,1476,14146,14146,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",51280,1261
1364,St. John's College,Annapolis,MD,0.499,37260,8,462,14270,10000,"Suburb, Population >= 250,000",33058,1378
1365,Towson University,Towson,MD,0.786,10818,15,16734,13642,13642,"City, Population < 100,000",51306,1138
1369,Washington College,Chestertown,MD,0.7471,52481,9,935,13834,9388,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",48633,1259
1374,Amherst College,Amherst,MA,0.0726,64100,7,1898,16750,16750,"City, Population < 100,000",66683,1513
1378,Babson College,Wellesley,MA,0.2235,54944,16,2709,19028,19028,"Suburb, Population >= 250,000",83999,1434
1381,Bay Path University,Longmeadow,MA,0.7563,35781,11,1263,12799,3500,"Suburb, Population >= 250,000",40705,1080
1383,Bentley University,Waltham,MA,0.5788,56500,12,4070,18660,18660,"City, Population < 100,000",83822,1346
1389,Boston College,Chestnut Hill,MA,0.1666,64176,12,9751,16120,11750,"City, Population < 100,000",74589,1500
1390,Boston University,Boston,MA,0.1437,62360,11,17668,17400,17400,"City, Population Size >= 250,000",62743,1454
1391,Brandeis University,Waltham,MA,0.3941,62322,10,3675,17092,12074,"City, Population < 100,000",56751,1473
1392,Bridgewater State University,Bridgewater,MA,0.8771,11051,17,7911,14162,14162,"Suburb, Population >= 250,000",42390,1110
1400,Clark University,Worcester,MA,0.5032,52352,9,2363,11164,11164,"City, Population Size between 100,000 and 250,000",42516,1373
1407,Eastern Nazarene College,Quincy,MA,0.6192,27990,9,408,10700,10700,"Suburb, Population >= 250,000",41180,1035
1408,Emerson College,Boston,MA,0.4275,53232,15,4147,19528,16650,"City, Population Size >= 250,000",46641,1373
1409,Emmanuel College,Boston,MA,0.7969,44908,13,1855,16730,16730,"City, Population Size >= 250,000",54137,1233
1410,Endicott College,Beverly,MA,0.7331,37776,12,2999,16958,13257,"Suburb, Population >= 250,000",47884,1205
1413,Fitchburg State University,Fitchburg,MA,0.8606,10921,12,2911,13516,10250,"Suburb, Population between 100,000 and 250,000",46062,1124
1414,Framingham State University,Framingham,MA,0.8741,11380,11,2712,13160,13160,"City, Population < 100,000",45542,1105
1416,Gordon College,Wenham,MA,0.9176,27040,14,1255,12150,12150,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",40243,1215
1423,College of the Holy Cross,Worcester,MA,0.3636,58360,10,3062,16620,16620,"City, Population Size between 100,000 and 250,000",67926,1361
1425,Lasell University,Newton,MA,0.7321,42630,11,1236,16500,8000,"City, Population < 100,000",47727,1149
1430,University of Massachusetts-Lowell,Lowell,MA,0.8595,16182,17,11985,13930,6100,"Suburb, Population >= 250,000",59876,1255
1431,University of Massachusetts-Amherst,Amherst,MA,0.6352,16952,18,24111,14123,14123,"City, Population < 100,000",57010,1376
1432,University of Massachusetts-Boston,Boston,MA,0.8076,15132,16,11749,16896,14833,"City, Population Size >= 250,000",54570,1198
1434,MCPHS University,Boston,MA,0.8826,37230,10,3488,19520,19520,"City, Population Size >= 250,000",84319,1232
1436,Massachusetts Institute of Technology,Cambridge,MA,0.0396,57986,3,4638,18790,18790,"City, Population Size between 100,000 and 250,000",118516,1560
1446,Mount Holyoke College,South Hadley,MA,0.3976,58498,9,2183,17180,14920,"Suburb, Population >= 250,000",45044,1432
1452,Nichols College,Dudley,MA,0.8486,38800,16,1164,14110,8160,"Suburb, Population >= 250,000",43416,1060
1456,Northeastern University,Boston,MA,0.068,60192,16,16172,18430,18430,"City, Population Size >= 250,000",71049,1505
1458,College of Our Lady of the Elms,Chicopee,MA,0.9091,40635,10,915,14830,9814,"Suburb, Population >= 250,000",48841,1140
1465,Salem State University,Salem,MA,0.9266,11978,12,4592,14954,10588,"Suburb, Population >= 250,000",48959,1110
1466,Simmons University,Boston,MA,0.7646,44350,7,1786,16368,16368,"City, Population Size >= 250,000",55764,1297
1468,Smith College,Northampton,MA,0.2286,58768,8,2515,20340,9674,"City, Population < 100,000",46644,1455
1470,Springfield College,Springfield,MA,0.7563,41694,11,2002,13720,13720,"City, Population Size between 100,000 and 250,000",40712,1216
1472,University of Massachusetts-Dartmouth,North Dartmouth,MA,0.9552,14854,15,5331,16493,10000,"Suburb, Population between 100,000 and 250,000",51727,1149
1474,Suffolk University,Boston,MA,0.8679,43332,13,4325,18482,20923,"City, Population Size >= 250,000",52669,1204
1476,Tufts University,Medford,MA,0.0969,65222,10,6747,16778,16778,"Suburb, Population >= 250,000",57530,1513
1477,Wellesley College,Wellesley,MA,0.1357,61920,7,2353,19080,2050,"Suburb, Population >= 250,000",59040,1500
1478,Wentworth Institute of Technology,Boston,MA,0.9231,38760,17,3557,15420,15420,"City, Population Size >= 250,000",69171,1215
1479,Western New England University,Springfield,MA,0.8801,44500,11,2402,14670,8100,"City, Population Size between 100,000 and 250,000",56923,1194
1481,Wheaton College (Massachusetts),Norton,MA,0.7948,60230,11,1653,14800,14800,"Suburb, Population >= 250,000",49246,1346
1484,Worcester State University,Worcester,MA,0.8766,10786,14,4025,13245,5400,"City, Population Size between 100,000 and 250,000",45806,1135
1485,Adrian College,Adrian,MI,0.6906,39596,16,1688,12980,12870,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",41486,1050
1491,Andrews University,Berrien Springs,MI,0.9127,32734,10,1249,9474,13658,"Fringe Town, Urban cluster that is 10 miles from an urban area",42804,1184
1492,Aquinas College,Grand Rapids,MI,0.9078,37280,11,1107,10572,6782,"City, Population Size between 100,000 and 250,000",37555,1100
1496,Calvin University,Grand Rapids,MI,0.7421,38620,12,2833,11150,11150,"City, Population Size between 100,000 and 250,000",46873,1263
1500,Central Michigan University,Mount Pleasant,MI,0.7895,13650,17,10297,11248,8000,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43881,1104
1504,Concordia University Ann Arbor,Ann Arbor,MI,0.7018,32982,11,843,12160,12160,"City, Population Size between 100,000 and 250,000",46700,1050
1512,University of Detroit Mercy,Detroit,MI,0.9053,31058,11,2322,10444,11222,"City, Population Size >= 250,000",59357,1090
1514,Eastern Michigan University,Ypsilanti,MI,0.8323,16410,14,11206,11396,11526,"Suburb, Population >= 250,000",40440,1056
1516,Ferris State University,Big Rapids,MI,0.8788,13076,15,8390,10268,8446,"Rural Town, Urban Cluster 35 miles away from an urban area",45373,1032
1518,Kettering University,Flint,MI,0.8075,44380,12,1401,8930,8930,"City, Population < 100,000",77520,1266
1523,Grand Valley State University,Allendale,MI,0.9037,13952,15,18487,10140,8352,"Fringe Town, Urban cluster that is 10 miles from an urban area",44050,1092
1527,Hope College,Holland,MI,0.8045,38370,11,3173,11900,6580,"City, Population < 100,000",47582,1213
1529,Kalamazoo College,Kalamazoo,MI,0.7925,56562,10,1192,11340,11340,"City, Population < 100,000",47628,1264
1535,Lake Superior State University,Sault Ste Marie,MI,0.7691,13728,13,1468,11016,8200,"Rural Town, Urban Cluster 35 miles away from an urban area",42777,1097
1542,University of Michigan-Ann Arbor,Ann Arbor,MI,0.1769,16736,12,32448,13171,13171,"City, Population Size between 100,000 and 250,000",67792,1473
1544,Michigan State University,East Lansing,MI,0.8795,15372,17,39021,10990,10990,"City, Population < 100,000",53701,1273
1545,Michigan Technological University,Houghton,MI,0.9368,17614,13,5633,12058,12058,"Rural Town, Urban Cluster 35 miles away from an urban area",66800,1245
1547,University of Michigan-Flint,Flint,MI,0.6635,13242,13,4029,10628,7732,"City, Population < 100,000",43975,1071
1555,Northwood University,Midland,MI,0.7968,31600,8,1911,12120,10694,"City, Population < 100,000",51053,1055
1557,Oakland University,Rochester Hills,MI,0.9005,14476,17,12626,11192,7860,"Suburb, Population >= 250,000",45402,1140
1565,Saginaw Valley State University,University Center,MI,0.7637,11565,16,6211,11400,11400,"Suburb, Population between 100,000 and 250,000",41216,1073
1567,Siena Heights University,Adrian,MI,0.6498,29044,12,1554,12200,12200,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",47551,1048
1570,Spring Arbor University,Spring Arbor,MI,0.4732,31660,10,1021,10652,10652,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",41250,1078
1578,Wayne State University,Detroit,MI,0.7532,14675,14,15669,11321,11706,"City, Population Size >= 250,000",42592,1147
1581,Western Michigan University,Kalamazoo,MI,0.8455,14623,16,13264,11102,11102,"City, Population < 100,000",43067,1105
1590,Bemidji State University,Bemidji,MN,0.7752,10130,16,3187,9572,9572,"Rural Town, Urban Cluster 35 miles away from an urban area",45244,1090
1591,Bethany Lutheran College,Mankato,MN,0.585,29010,12,641,8270,8270,"City, Population < 100,000",38087,1147
1592,Bethel University,Saint Paul,MN,0.7249,41270,12,2090,11490,8470,"Suburb, Population >= 250,000",52654,1190
1595,Concordia College at Moorhead,Moorhead,MN,0.6553,28916,12,1800,10510,9300,"Suburb, Population between 100,000 and 250,000",46426,1220
1596,Concordia University-Saint Paul,Saint Paul,MN,0.6909,24400,13,2760,10200,10200,"City, Population Size >= 250,000",48414,1190
1598,Martin Luther College,New Ulm,MN,0.8372,17420,9,697,6880,6880,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",37838,1194
1602,Gustavus Adolphus College,Saint Peter,MN,0.739,53030,11,2069,11010,11010,"Fringe Town, Urban cluster that is 10 miles from an urban area",48470,1320
1603,Hamline University,Saint Paul,MN,0.8055,46616,13,1745,11213,11213,"City, Population Size >= 250,000",47601,1152
1612,Minnesota State University-Mankato,Mankato,MN,0.7068,9444,21,11354,10606,7758,"City, Population < 100,000",47704,1090
1615,University of Minnesota-Twin Cities,Minneapolis,MN,0.7491,15859,16,30560,11894,11894,"City, Population Size >= 250,000",54565,1355
1617,Minneapolis College of Art and Design,Minneapolis,MN,0.5689,42560,9,689,7290,7290,"City, Population Size >= 250,000",33370,1234
1621,University of Minnesota-Duluth,Duluth,MN,0.807,14126,16,7754,9638,9638,"City, Population < 100,000",49198,1220
1624,Minnesota State University Moorhead,Moorhead,MN,0.5662,10236,17,3462,10104,10104,"Suburb, Population between 100,000 and 250,000",42396,1090
1629,University of Northwestern-St Paul,Saint Paul,MN,0.9251,35340,15,1512,10644,7440,"Suburb, Population >= 250,000",42825,1186
1634,College of Saint Benedict,Saint Joseph,MN,0.878,52108,11,1428,11922,11922,"Suburb, Population between 100,000 and 250,000",50645,1186
1636,Saint Cloud State University,Saint Cloud,MN,0.9528,10117,16,5395,9950,9950,"City, Population < 100,000",45679,1093
1637,Saint Johns University,Collegeville,MN,0.8624,52164,11,1501,11890,11890,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",59128,1144
1638,Saint Mary's University of Minnesota,Winona,MN,0.9683,41150,17,1080,10220,10220,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",50163,1150
1639,St Olaf College,Northfield,MN,0.5641,54650,12,3019,12450,12450,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",46817,1377
1641,The College of Saint Scholastica,Duluth,MN,0.9661,39410,10,1923,10996,10996,"City, Population < 100,000",56045,1220
1642,University of St Thomas,Saint Paul,MN,0.77,50366,13,5868,12587,14950,"City, Population Size >= 250,000",60194,1290
1644,St Catherine University,Saint Paul,MN,0.9253,47870,10,2349,9900,9900,"City, Population Size >= 250,000",50044,1127
1647,Southwest Minnesota State University,Marshall,MN,0.9159,10122,15,1956,9258,9258,"Rural Town, Urban Cluster 35 miles away from an urban area",42381,1050
1650,Dunwoody College of Technology,Minneapolis,MN,0.9804,24611,12,1351,13840,13840,"City, Population Size >= 250,000",55019,1020
1653,Winona State University,Winona,MN,0.7375,10492,16,5254,9654,9654,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",49054,1121
1656,Alcorn State University,Alcorn State,MS,0.2993,8549,16,2344,10255,10255,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",27429,1019
1657,Belhaven University,Jackson,MS,0.426,28375,9,1414,9100,6500,"City, Population Size between 100,000 and 250,000",37451,1059
1658,Blue Mountain Christian University,Blue Mountain,MS,0.957,19280,14,540,8452,7400,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",33760,1089
1662,Delta State University,Cleveland,MS,0.9861,8605,10,1627,8317,8500,"Rural Town, Urban Cluster 35 miles away from an urban area",33231,1055
1670,Jackson State University,Jackson,MS,0.8864,8445,15,4905,10445,10445,"City, Population Size between 100,000 and 250,000",30345,1022
1673,Millsaps College,Jackson,MS,0.6783,43815,9,622,14210,14550,"City, Population Size between 100,000 and 250,000",39915,1223
1675,University of Mississippi,University,MS,0.9738,9220,16,17157,11490,11490,"Rural Town, Urban Cluster 35 miles away from an urban area",42109,1199
1676,Mississippi University for Women,Columbus,MS,0.9911,7866,11,1701,8212,8100,"Rural Town, Urban Cluster 35 miles away from an urban area",36894,1050
1677,Mississippi Valley State University,Itta Bena,MS,0.6478,7414,12,1169,8112,7201,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",25895,870
1678,Mississippi College,Clinton,MS,0.3999,21098,13,2098,11818,12656,"Suburb, Population >= 250,000",40631,1190
1681,Mississippi State University,Mississippi State,MS,0.7519,9398,16,18154,10964,10964,"Rural Town, Urban Cluster 35 miles away from an urban area",39950,1215
1685,Rust College,Holly Springs,MS,0.7876,9900,8,731,5200,4400,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",23744,1003
1688,University of Southern Mississippi,Hattiesburg,MS,0.9884,9450,15,10149,11338,9900,"City, Population < 100,000",35766,1150
1692,William Carey University,Hattiesburg,MS,0.5358,14685,13,1772,7463,7463,"City, Population < 100,000",35209,1188
1694,Avila University,Kansas City,MO,0.6763,22390,10,937,7710,10686,"City, Population Size >= 250,000",44448,1090
1698,Calvary University,Kansas City,MO,0.6316,12500,8,202,6124,13523,"City, Population Size >= 250,000",31523,1058
1701,Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,0.9786,27140,13,1074,8910,8140,"Distant Rural, Between 5 to 25 miles from an urban area and between 2.5 to 10 miles from an Urban Cluster",40703,1045
1702,University of Central Missouri,Warrensburg,MO,0.7134,9413,19,5920,9699,9699,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",39832,1090
1711,Culver-Stockton College,Canton,MO,0.9695,29195,14,854,9270,9634,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",39291,1120
1712,Drury University,Springfield,MO,0.6343,33830,12,1369,10232,10232,"City, Population Size between 100,000 and 250,000",34289,1221
